timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 24 77 0.39908152911668854 9.184708833114841E-4
2 52 67 0.3881827797135599 0.011817220286440111
2 57 79 0.3999462155541456 5.378444585441011E-5
3 52 67 0.3881827797135599 0.011817220286440111
3 56 78 0.3898198195750733 0.010180180424926744
4 19 82 0.3991844331752522 8.155668247478154E-4
4 52 67 0.3881827797135599 0.011817220286440111
4 56 78 0.3898198195750733 0.010180180424926744
4 61 88 0.390630055113958 0.009369944886042036
4 66 88 0.39356221505033806 0.006437784949661962
5 19 82 0.3991844331752522 8.155668247478154E-4
5 52 67 0.3881827797135599 0.011817220286440111
5 56 78 0.3898198195750733 0.010180180424926744
5 61 88 0.390630055113958 0.009369944886042036
5 66 88 0.39356221505033806 0.006437784949661962
6 19 82 0.3991844331752522 8.155668247478154E-4
6 52 67 0.3881827797135599 0.011817220286440111
6 56 78 0.3898198195750733 0.010180180424926744
6 61 88 0.390630055113958 0.009369944886042036
6 66 88 0.39356221505033806 0.006437784949661962
7 19 82 0.3991844331752522 8.155668247478154E-4
7 62 89 0.3897974149666015 0.010202585033398548
8 62 89 0.3897974149666015 0.010202585033398548
9 11 81 0.39861443841729194 0.0013855615827080836
9 62 89 0.3897974149666015 0.010202585033398548
10 11 81 0.39861443841729194 0.0013855615827080836
11 11 81 0.39861443841729194 0.0013855615827080836
12 11 81 0.39861443841729194 0.0013855615827080836
12 32 49 0.3908090532461113 0.009190946753888707
13 11 81 0.39603883458593253 0.003961165414067491
13 32 49 0.3908090532461113 0.009190946753888707
13 46 49 0.3960726850492952 0.003927314950704808
14 11 81 0.39603883458593253 0.003961165414067491
15 11 81 0.39603883458593253 0.003961165414067491
16 11 81 0.39603883458593253 0.003961165414067491
16 88 89 0.39850754281842726 0.0014924571815727594
17 11 81 0.39603883458593253 0.003961165414067491
17 88 89 0.39850754281842726 0.0014924571815727594
18 11 81 0.39603883458593253 0.003961165414067491
18 88 89 0.39850754281842726 0.0014924571815727594
19 88 89 0.39850754281842726 0.0014924571815727594
20 28 39 0.3922655288032405 0.007734471196759518
20 88 89 0.39850754281842726 0.0014924571815727594
21 28 39 0.3922655288032405 0.007734471196759518
22 28 39 0.3922655288032405 0.007734471196759518
23 28 39 0.3922655288032405 0.007734471196759518
24 28 39 0.3922655288032405 0.007734471196759518
24 32 45 0.39951563324749606 4.843667525039619E-4
25 28 39 0.3922655288032405 0.007734471196759518
25 32 45 0.39951563324749606 4.843667525039619E-4
25 48 87 0.3984241282755118 0.0015758717244881981
26 32 45 0.39951563324749606 4.843667525039619E-4
26 34 47 0.3914229921849389 0.0085770078150611
26 76 88 0.3929688522904228 0.007031147709577246
27 32 45 0.39951563324749606 4.843667525039619E-4
27 34 47 0.3914229921849389 0.0085770078150611
27 76 88 0.3929688522904228 0.007031147709577246
28 32 45 0.39951563324749606 4.843667525039619E-4
28 76 88 0.3929688522904228 0.007031147709577246
30 25 42 0.38977215565920165 0.010227844340798375
105 41 45 0.39201745359235896 0.007982546407641067
106 41 45 0.39201745359235896 0.007982546407641067
107 41 45 0.39201745359235896 0.007982546407641067
108 41 45 0.39201745359235896 0.007982546407641067
145 27 78 0.39254177840331844 0.00745822159668158
146 27 78 0.39254177840331844 0.00745822159668158
223 39 48 0.3956616390556121 0.004338360944387942
224 39 48 0.3956616390556121 0.004338360944387942
225 39 48 0.3956616390556121 0.004338360944387942
281 29 76 0.39484484504448825 0.005155154955511776
282 29 76 0.39484484504448825 0.005155154955511776
283 29 76 0.39484484504448825 0.005155154955511776
284 29 76 0.39484484504448825 0.005155154955511776
285 29 76 0.39484484504448825 0.005155154955511776
490 50 54 0.3893946219509 0.0106053780491
491 50 54 0.3893946219509 0.0106053780491
492 50 54 0.3893946219509 0.0106053780491
493 50 54 0.3893946219509 0.0106053780491
494 50 54 0.3893946219509 0.0106053780491
524 78 87 0.39874979786347853 0.0012502021365214944
679 58 75 0.39826632275219886 0.0017336772478011575
680 58 75 0.39826632275219886 0.0017336772478011575
1182 50 82 0.39334835947197766 0.006651640528022362
1183 50 82 0.39334835947197766 0.006651640528022362
1184 50 82 0.39334835947197766 0.006651640528022362
1185 50 82 0.39334835947197766 0.006651640528022362
