timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
4 11 76 0.39934643721266416 6.535627873358596E-4
4 35 113 0.39105412788033433 0.008945872119665688
4 47 116 0.3925740819988068 0.0074259180011932435
4 50 111 0.3997115892000043 2.884107999956975E-4
4 52 132 0.39154020684716645 0.008459793152833572
4 59 113 0.39628472932083164 0.003715270679168381
5 47 116 0.3925740819988068 0.0074259180011932435
5 50 111 0.3997115892000043 2.884107999956975E-4
6 82 140 0.39863665273281196 0.0013633472671880642
6 132 160 0.39121781300117325 0.008782186998826769
7 75 96 0.3901167133083414 0.00988328669165861
7 96 147 0.38942450865867384 0.010575491341326182
7 132 160 0.39121781300117325 0.008782186998826769
7 154 166 0.3955093340092262 0.004490665990773801
8 96 147 0.38942450865867384 0.010575491341326182
8 139 170 0.391825882918516 0.008174117081484022
8 154 166 0.3955093340092262 0.004490665990773801
11 96 147 0.3973871577383099 0.002612842261690118
12 96 147 0.3973871577383099 0.002612842261690118
117 103 126 0.3939944827594558 0.006005517240544211
118 103 126 0.3939944827594558 0.006005517240544211
119 103 126 0.3939944827594558 0.006005517240544211
