timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 24 77 0.39908152911668854 9.184708833114841E-4
2 52 67 0.3881827797135599 0.011817220286440111
2 57 79 0.3999462155541456 5.378444585441011E-5
3 52 67 0.3881827797135599 0.011817220286440111
4 7 80 0.39946451948079226 5.35480519207765E-4
4 52 67 0.3881827797135599 0.011817220286440111
4 61 88 0.390630055113958 0.009369944886042036
4 66 88 0.39356221505033806 0.006437784949661962
4 71 90 0.39821422557281866 0.0017857744271813636
5 7 80 0.39946451948079226 5.35480519207765E-4
5 52 67 0.3881827797135599 0.011817220286440111
5 61 88 0.390630055113958 0.009369944886042036
5 66 88 0.39356221505033806 0.006437784949661962
5 71 90 0.39821422557281866 0.0017857744271813636
6 7 80 0.39946451948079226 5.35480519207765E-4
6 52 67 0.3881827797135599 0.011817220286440111
6 61 88 0.390630055113958 0.009369944886042036
6 66 88 0.39356221505033806 0.006437784949661962
6 71 90 0.39821422557281866 0.0017857744271813636
7 14 21 0.3901694414508578 0.009830558549142221
7 16 24 0.39148965706522726 0.008510342934772763
7 16 82 0.38986775825448716 0.01013224174551286
7 43 48 0.3919677697813042 0.008032230218695813
8 14 21 0.3901694414508578 0.009830558549142221
8 16 24 0.39148965706522726 0.008510342934772763
8 16 82 0.38986775825448716 0.01013224174551286
8 43 48 0.3919677697813042 0.008032230218695813
9 9 83 0.39848839616617066 0.001511603833829367
9 14 21 0.3901694414508578 0.009830558549142221
9 16 24 0.39148965706522726 0.008510342934772763
9 43 48 0.3919677697813042 0.008032230218695813
9 66 88 0.3921011675793685 0.007898832420631496
9 73 90 0.38990593516968763 0.010094064830312388
10 9 83 0.39848839616617066 0.001511603833829367
10 14 21 0.3901694414508578 0.009830558549142221
10 16 24 0.39148965706522726 0.008510342934772763
10 43 48 0.3919677697813042 0.008032230218695813
10 66 88 0.3921011675793685 0.007898832420631496
10 73 90 0.38990593516968763 0.010094064830312388
11 9 83 0.39848839616617066 0.001511603833829367
11 14 21 0.3901694414508578 0.009830558549142221
11 16 24 0.39148965706522726 0.008510342934772763
11 43 48 0.3919677697813042 0.008032230218695813
11 66 88 0.3921011675793685 0.007898832420631496
11 73 90 0.38990593516968763 0.010094064830312388
12 9 83 0.39848839616617066 0.001511603833829367
12 14 21 0.3901694414508578 0.009830558549142221
12 43 48 0.3919677697813042 0.008032230218695813
12 73 90 0.38990593516968763 0.010094064830312388
14 1 30 0.395396723763804 0.004603276236195997
15 1 30 0.395396723763804 0.004603276236195997
16 1 30 0.395396723763804 0.004603276236195997
17 1 30 0.395396723763804 0.004603276236195997
18 1 30 0.395396723763804 0.004603276236195997
18 32 37 0.3972475346956508 0.0027524653043492497
19 1 30 0.395396723763804 0.004603276236195997
20 1 30 0.395396723763804 0.004603276236195997
21 1 30 0.395396723763804 0.004603276236195997
22 1 30 0.395396723763804 0.004603276236195997
22 76 89 0.3904321381137032 0.009567861886296825
23 76 89 0.3904321381137032 0.009567861886296825
25 23 77 0.3986557736407897 0.001344226359210332
26 23 77 0.3986557736407897 0.001344226359210332
27 23 77 0.3986557736407897 0.001344226359210332
28 23 77 0.3986557736407897 0.001344226359210332
29 12 17 0.39236112414473523 0.007638875855264793
29 23 77 0.3986557736407897 0.001344226359210332
38 34 37 0.39089120356787305 0.009108796432126975
39 34 37 0.39089120356787305 0.009108796432126975
40 34 37 0.39089120356787305 0.009108796432126975
41 34 37 0.39089120356787305 0.009108796432126975
42 34 37 0.39089120356787305 0.009108796432126975
44 34 37 0.3998350292590134 1.6497074098664744E-4
45 34 37 0.3998350292590134 1.6497074098664744E-4
46 34 37 0.3998350292590134 1.6497074098664744E-4
47 34 37 0.3998350292590134 1.6497074098664744E-4
48 34 37 0.3998350292590134 1.6497074098664744E-4
83 38 44 0.3910945992095103 0.008905400790489737
84 38 44 0.3910945992095103 0.008905400790489737
85 38 44 0.3910945992095103 0.008905400790489737
86 34 37 0.3934993090423358 0.006500690957664201
86 38 44 0.3910945992095103 0.008905400790489737
87 34 37 0.3934993090423358 0.006500690957664201
87 38 44 0.3910945992095103 0.008905400790489737
88 34 37 0.3934993090423358 0.006500690957664201
89 34 37 0.3934993090423358 0.006500690957664201
98 29 30 0.3951209589100194 0.004879041089980607
127 35 40 0.3943492099721366 0.005650790027863395
128 35 40 0.3943492099721366 0.005650790027863395
176 31 35 0.3958145072153608 0.0041854927846392
177 31 35 0.3958145072153608 0.0041854927846392
178 31 35 0.3958145072153608 0.0041854927846392
179 31 35 0.3958145072153608 0.0041854927846392
271 43 87 0.3953631213610865 0.004636878638913544
277 43 87 0.3914965480754816 0.008503451924518401
817 59 75 0.39049950251049254 0.009500497489507487
818 59 75 0.39049950251049254 0.009500497489507487
819 59 75 0.39049950251049254 0.009500497489507487
840 27 74 0.39285682469388555 0.007143175306114469
841 27 74 0.39285682469388555 0.007143175306114469
842 27 74 0.39285682469388555 0.007143175306114469
843 27 74 0.39285682469388555 0.007143175306114469
844 27 74 0.39285682469388555 0.007143175306114469
1551 19 89 0.39983419091727407 1.6580908272595396E-4
1552 19 89 0.39983419091727407 1.6580908272595396E-4
1553 19 89 0.39983419091727407 1.6580908272595396E-4
1554 19 89 0.39983419091727407 1.6580908272595396E-4
1555 19 89 0.39983419091727407 1.6580908272595396E-4
1584 3 89 0.38980699689832876 0.01019300310167126
1585 3 89 0.38980699689832876 0.01019300310167126
1586 3 89 0.38980699689832876 0.01019300310167126
