timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 24 77 0.39908152911668854 9.184708833114841E-4
2 27 48 0.3921485780204904 0.00785142197950961
2 31 36 0.39384701076294304 0.006152989237056983
2 31 47 0.39139387910973245 0.008606120890267577
2 34 47 0.3881029501294704 0.011897049870529641
3 27 48 0.3921485780204904 0.00785142197950961
3 31 36 0.39384701076294304 0.006152989237056983
3 31 47 0.39139387910973245 0.008606120890267577
3 34 47 0.3881029501294704 0.011897049870529641
4 27 48 0.3921485780204904 0.00785142197950961
4 29 86 0.3889298997963653 0.011070100203634747
4 31 36 0.39384701076294304 0.006152989237056983
4 31 47 0.39139387910973245 0.008606120890267577
4 34 47 0.3881029501294704 0.011897049870529641
4 61 90 0.396356856390583 0.003643143609417032
4 64 88 0.39103027499004733 0.00896972500995269
5 27 48 0.3921485780204904 0.00785142197950961
5 29 86 0.3889298997963653 0.011070100203634747
5 31 36 0.39384701076294304 0.006152989237056983
5 31 47 0.39139387910973245 0.008606120890267577
5 34 47 0.3881029501294704 0.011897049870529641
5 61 90 0.396356856390583 0.003643143609417032
5 64 88 0.39103027499004733 0.00896972500995269
6 27 48 0.3921485780204904 0.00785142197950961
6 29 86 0.3889298997963653 0.011070100203634747
6 31 36 0.39384701076294304 0.006152989237056983
6 31 47 0.39139387910973245 0.008606120890267577
6 34 47 0.3881029501294704 0.011897049870529641
6 61 90 0.396356856390583 0.003643143609417032
6 64 88 0.39103027499004733 0.00896972500995269
7 27 48 0.3921485780204904 0.00785142197950961
7 52 67 0.3939442389531643 0.006055761046835695
7 56 69 0.3897726616956693 0.010227338304330702
8 27 48 0.3921485780204904 0.00785142197950961
8 34 47 0.3998996904692989 1.0030953070111481E-4
8 34 50 0.3930912497696641 0.006908750230335936
8 45 49 0.3984729829160079 0.0015270170839921104
8 47 50 0.39505761011134 0.004942389888660026
8 52 67 0.3939442389531643 0.006055761046835695
8 68 78 0.39669042300280666 0.003309576997193364
9 12 82 0.390068037215218 0.009931962784782034
9 27 48 0.3921485780204904 0.00785142197950961
9 34 47 0.3998996904692989 1.0030953070111481E-4
9 34 50 0.3930912497696641 0.006908750230335936
9 45 49 0.3984729829160079 0.0015270170839921104
9 47 50 0.39505761011134 0.004942389888660026
9 52 67 0.3939442389531643 0.006055761046835695
9 68 78 0.39669042300280666 0.003309576997193364
9 72 87 0.3981943983474671 0.0018056016525329066
10 12 82 0.390068037215218 0.009931962784782034
10 27 48 0.3921485780204904 0.00785142197950961
10 34 47 0.3998996904692989 1.0030953070111481E-4
10 34 50 0.3930912497696641 0.006908750230335936
10 45 49 0.3984729829160079 0.0015270170839921104
10 47 50 0.39505761011134 0.004942389888660026
10 52 67 0.3939442389531643 0.006055761046835695
10 64 88 0.3954328867586729 0.0045671132413271365
10 68 78 0.39669042300280666 0.003309576997193364
10 72 87 0.3981943983474671 0.0018056016525329066
11 12 82 0.390068037215218 0.009931962784782034
11 27 48 0.3921485780204904 0.00785142197950961
11 34 47 0.3998996904692989 1.0030953070111481E-4
11 34 50 0.3930912497696641 0.006908750230335936
11 45 49 0.3984729829160079 0.0015270170839921104
11 47 50 0.39505761011134 0.004942389888660026
11 52 67 0.3939442389531643 0.006055761046835695
11 64 88 0.3954328867586729 0.0045671132413271365
11 68 78 0.39669042300280666 0.003309576997193364
11 72 87 0.3981943983474671 0.0018056016525329066
12 27 48 0.3921485780204904 0.00785142197950961
12 45 49 0.3984729829160079 0.0015270170839921104
12 47 50 0.39505761011134 0.004942389888660026
12 52 67 0.3939442389531643 0.006055761046835695
12 64 88 0.3954328867586729 0.0045671132413271365
12 68 78 0.39669042300280666 0.003309576997193364
13 9 14 0.38967391152701863 0.010326088472981387
13 27 48 0.3921485780204904 0.00785142197950961
13 47 50 0.39505761011134 0.004942389888660026
13 67 74 0.39479982340114994 0.005200176598850081
14 9 14 0.38967391152701863 0.010326088472981387
14 27 48 0.3921485780204904 0.00785142197950961
14 47 50 0.3917464264170282 0.008253573582971796
14 67 74 0.39479982340114994 0.005200176598850081
15 9 14 0.38967391152701863 0.010326088472981387
15 12 82 0.393260104862925 0.006739895137075014
15 27 48 0.3921485780204904 0.00785142197950961
15 47 50 0.3917464264170282 0.008253573582971796
15 49 85 0.390215736220869 0.009784263779130997
15 67 74 0.39479982340114994 0.005200176598850081
16 9 14 0.38967391152701863 0.010326088472981387
16 12 82 0.393260104862925 0.006739895137075014
16 27 48 0.3921485780204904 0.00785142197950961
16 47 50 0.3917464264170282 0.008253573582971796
16 49 85 0.390215736220869 0.009784263779130997
16 64 88 0.39106170768545756 0.008938292314542462
16 67 74 0.39479982340114994 0.005200176598850081
17 9 14 0.38967391152701863 0.010326088472981387
17 12 82 0.393260104862925 0.006739895137075014
17 27 48 0.3921485780204904 0.00785142197950961
17 47 50 0.3917464264170282 0.008253573582971796
17 49 85 0.390215736220869 0.009784263779130997
17 64 88 0.39106170768545756 0.008938292314542462
17 67 74 0.39479982340114994 0.005200176598850081
18 27 48 0.3921485780204904 0.00785142197950961
18 37 45 0.3911813948705175 0.008818605129482515
18 47 50 0.3917464264170282 0.008253573582971796
18 49 85 0.390215736220869 0.009784263779130997
18 64 88 0.39106170768545756 0.008938292314542462
18 67 74 0.39479982340114994 0.005200176598850081
19 20 25 0.39921371032419545 7.862896758045745E-4
19 45 46 0.3996095470313136 3.9045296868639445E-4
19 47 50 0.3917464264170282 0.008253573582971796
19 49 85 0.390215736220869 0.009784263779130997
19 54 79 0.39340500598821015 0.0065949940117898675
19 64 88 0.39106170768545756 0.008938292314542462
20 20 25 0.39921371032419545 7.862896758045745E-4
20 45 46 0.3996095470313136 3.9045296868639445E-4
20 54 79 0.39340500598821015 0.0065949940117898675
20 64 88 0.39106170768545756 0.008938292314542462
21 20 25 0.39921371032419545 7.862896758045745E-4
21 45 46 0.3996095470313136 3.9045296868639445E-4
21 54 79 0.39340500598821015 0.0065949940117898675
21 64 88 0.39106170768545756 0.008938292314542462
22 20 25 0.39921371032419545 7.862896758045745E-4
22 45 46 0.3996095470313136 3.9045296868639445E-4
22 54 79 0.39340500598821015 0.0065949940117898675
23 20 25 0.39921371032419545 7.862896758045745E-4
23 45 46 0.3996095470313136 3.9045296868639445E-4
23 54 79 0.39340500598821015 0.0065949940117898675
26 35 44 0.3903660377236125 0.00963396227638752
27 35 44 0.3903660377236125 0.00963396227638752
28 35 44 0.3903660377236125 0.00963396227638752
29 35 44 0.3903660377236125 0.00963396227638752
30 35 44 0.3903660377236125 0.00963396227638752
37 68 78 0.39474581765940714 0.005254182340592883
38 68 78 0.39474581765940714 0.005254182340592883
39 68 78 0.39474581765940714 0.005254182340592883
40 68 78 0.39474581765940714 0.005254182340592883
41 68 78 0.39474581765940714 0.005254182340592883
42 68 78 0.39474581765940714 0.005254182340592883
84 40 84 0.39882524076944886 0.001174759230551159
85 40 84 0.39882524076944886 0.001174759230551159
86 40 84 0.39882524076944886 0.001174759230551159
87 40 84 0.39882524076944886 0.001174759230551159
102 40 84 0.39722724917165214 0.0027727508283478808
103 40 84 0.39722724917165214 0.0027727508283478808
104 40 84 0.39722724917165214 0.0027727508283478808
105 40 84 0.39722724917165214 0.0027727508283478808
109 32 42 0.3905037820979039 0.009496217902096149
110 32 42 0.3905037820979039 0.009496217902096149
182 55 75 0.3949512527115323 0.005048747288467714
183 55 75 0.3949512527115323 0.005048747288467714
187 26 51 0.3948812407741963 0.005118759225803737
188 26 51 0.3948812407741963 0.005118759225803737
280 55 70 0.39811842622431304 0.0018815737756869844
281 55 70 0.39811842622431304 0.0018815737756869844
282 55 70 0.39811842622431304 0.0018815737756869844
283 55 70 0.39811842622431304 0.0018815737756869844
434 26 49 0.3945799786749902 0.0054200213250098495
435 26 49 0.3945799786749902 0.0054200213250098495
436 26 49 0.3945799786749902 0.0054200213250098495
662 30 49 0.39758703094051434 0.002412969059485681
1165 61 89 0.39257517617526677 0.007424823824733251
1166 61 89 0.39257517617526677 0.007424823824733251
