timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
2 9 14 0.3916215344442259 0.008378465555774095
2 24 77 0.39908152911668854 9.184708833114841E-4
2 52 67 0.3881827797135599 0.011817220286440111
2 54 64 0.3916887018392536 0.008311298160746439
2 57 79 0.3999462155541456 5.378444585441011E-5
3 9 14 0.3916215344442259 0.008378465555774095
3 52 67 0.3881827797135599 0.011817220286440111
3 54 64 0.3916887018392536 0.008311298160746439
4 9 14 0.3916215344442259 0.008378465555774095
4 10 83 0.3892119560849381 0.01078804391506194
4 52 67 0.3881827797135599 0.011817220286440111
4 54 64 0.3916887018392536 0.008311298160746439
4 80 81 0.3908908098731554 0.009109190126844635
5 9 14 0.3916215344442259 0.008378465555774095
5 10 83 0.3892119560849381 0.01078804391506194
5 52 67 0.3881827797135599 0.011817220286440111
5 54 64 0.3916887018392536 0.008311298160746439
5 80 81 0.3908908098731554 0.009109190126844635
6 9 14 0.3916215344442259 0.008378465555774095
6 10 83 0.3892119560849381 0.01078804391506194
6 52 67 0.3881827797135599 0.011817220286440111
6 54 64 0.3916887018392536 0.008311298160746439
6 80 81 0.3908908098731554 0.009109190126844635
7 51 78 0.3881294917430067 0.011870508256993317
7 80 81 0.3908908098731554 0.009109190126844635
8 80 81 0.3908908098731554 0.009109190126844635
9 56 88 0.39351687752700876 0.006483122472991265
10 56 88 0.39351687752700876 0.006483122472991265
11 56 88 0.39351687752700876 0.006483122472991265
12 56 88 0.39351687752700876 0.006483122472991265
20 52 69 0.39325803882958127 0.006741961170418753
21 52 69 0.39325803882958127 0.006741961170418753
22 52 69 0.39325803882958127 0.006741961170418753
23 2 83 0.3977722741900388 0.002227725809961223
23 52 69 0.39325803882958127 0.006741961170418753
24 2 83 0.3977722741900388 0.002227725809961223
24 12 17 0.39972406973578417 2.759302642158512E-4
24 16 19 0.39461550621969654 0.005384493780303479
24 16 80 0.3890603899981415 0.010939610001858502
24 36 47 0.39666516302530175 0.0033348369746982742
24 52 69 0.39325803882958127 0.006741961170418753
24 69 75 0.39563618087946917 0.004363819120530854
25 2 83 0.3977722741900388 0.002227725809961223
25 12 17 0.39972406973578417 2.759302642158512E-4
25 16 19 0.39461550621969654 0.005384493780303479
25 16 80 0.3890603899981415 0.010939610001858502
25 36 47 0.39666516302530175 0.0033348369746982742
25 69 75 0.39563618087946917 0.004363819120530854
26 2 83 0.3977722741900388 0.002227725809961223
26 12 17 0.39972406973578417 2.759302642158512E-4
26 16 80 0.3890603899981415 0.010939610001858502
26 35 44 0.3907894591749673 0.009210540825032698
27 12 17 0.39972406973578417 2.759302642158512E-4
27 16 80 0.3890603899981415 0.010939610001858502
27 35 44 0.3907894591749673 0.009210540825032698
28 12 17 0.39972406973578417 2.759302642158512E-4
28 16 80 0.3890603899981415 0.010939610001858502
28 35 44 0.3907894591749673 0.009210540825032698
29 35 44 0.3907894591749673 0.009210540825032698
29 55 70 0.3927953021344331 0.007204697865566934
30 35 44 0.3907894591749673 0.009210540825032698
30 55 70 0.3927953021344331 0.007204697865566934
31 8 86 0.39332478406425697 0.006675215935743051
32 8 86 0.39332478406425697 0.006675215935743051
33 8 86 0.39332478406425697 0.006675215935743051
34 8 86 0.39332478406425697 0.006675215935743051
35 8 86 0.39332478406425697 0.006675215935743051
36 9 16 0.3987220862970991 0.0012779137029009235
37 9 16 0.3987220862970991 0.0012779137029009235
38 9 16 0.3987220862970991 0.0012779137029009235
39 9 16 0.3987220862970991 0.0012779137029009235
42 36 38 0.3961542636775523 0.0038457363224477237
42 38 44 0.39425571494151473 0.005744285058485288
43 36 38 0.3961542636775523 0.0038457363224477237
43 38 44 0.39425571494151473 0.005744285058485288
44 36 38 0.3961542636775523 0.0038457363224477237
44 38 44 0.39425571494151473 0.005744285058485288
45 36 38 0.3961542636775523 0.0038457363224477237
46 36 38 0.3961542636775523 0.0038457363224477237
750 1 35 0.39568547117101116 0.004314528828988862
751 1 35 0.39568547117101116 0.004314528828988862
752 1 35 0.39568547117101116 0.004314528828988862
